x,y
1.658291457286432902e+00,3.572546451109895216e+00
1.758793969849246963e+00,-1.767653530574516907e+00
1.859296482412061025e+00,1.012976916347495759e+01
1.959798994974875086e+00,8.525765037946900549e+00
2.060301507537689147e+00,9.082567662512458284e+00
2.160804020100503209e+00,9.530731381289969661e-01
2.261306532663317270e+00,1.289839993897011539e+01
2.361809045226131332e+00,-7.279877808572567943e-01
2.462311557788945393e+00,9.625497537908916712e+00
2.562814070351759455e+00,1.806729594700023966e+01
2.663316582914573516e+00,2.600822968726838269e+00
2.763819095477387577e+00,5.176059278454538060e+00
2.864321608040201639e+00,8.976327045991917331e+00
2.964824120603015700e+00,6.448653181301507331e+00
3.065326633165829762e+00,1.719102320961923169e+00
3.165829145728643823e+00,1.034105493454963387e+01
3.266331658291457885e+00,5.232988163110829483e+00
3.366834170854271946e+00,1.348019270197921671e+01
3.467336683417086007e+00,7.105288727184061237e+00
3.567839195979900069e+00,2.006569244395520002e+01
3.668341708542714130e+00,9.037738692578319188e+00
3.768844221105528192e+00,1.200695745540929060e+01
3.869346733668342253e+00,1.837423587971934325e+01
3.969849246231156314e+00,8.868627788752142749e+00
4.070351758793970376e+00,1.690418563851612532e+01
4.170854271356784437e+00,2.307482050187573464e+01
4.271356783919598499e+00,9.302761074616521242e+00
4.371859296482412560e+00,1.909374511036093125e+01
4.472361809045226622e+00,2.033010260645369272e+01
4.572864321608040683e+00,2.382992024778664586e+01
4.673366834170854744e+00,1.465636527967766689e+01
4.773869346733668806e+00,1.518943479676199715e+01
4.874371859296482867e+00,2.538229941670926948e+01
4.974874371859296929e+00,2.526855033374442883e+01
5.075376884422110990e+00,2.607707468465483203e+01
5.175879396984925052e+00,2.762747110109004467e+01
5.276381909547739113e+00,2.359495507381135937e+01
5.376884422110553174e+00,2.928492654730014877e+01
5.477386934673367236e+00,3.074574622445803485e+01
5.577889447236181297e+00,2.689283446393620025e+01
5.678391959798995359e+00,4.100441571293107046e+01
5.778894472361809420e+00,3.528159925179953404e+01
5.879396984924623482e+00,2.821788660484612521e+01
5.979899497487437543e+00,3.874330838360879170e+01
6.080402010050253381e+00,3.189648387844039590e+01
6.180904522613065666e+00,4.203690119121336011e+01
6.281407035175881504e+00,4.524727396552759018e+01
6.381909547738693789e+00,3.672392183355079709e+01
6.482412060301509626e+00,4.703645820381977671e+01
6.582914572864321912e+00,4.569393046177584239e+01
6.683417085427137749e+00,4.916799655150164483e+01
6.783919597989950034e+00,5.598559983536964779e+01
6.884422110552765872e+00,4.673399003539894636e+01
6.984924623115578157e+00,4.566603818314081309e+01
7.085427135678393995e+00,4.647462173078608316e+01
7.185929648241206280e+00,4.834356335211582945e+01
7.286432160804022118e+00,5.354980591574009452e+01
7.386934673366834403e+00,5.716546553253314755e+01
7.487437185929650241e+00,5.837874096754438824e+01
7.587939698492462526e+00,6.267756419764273801e+01
7.688442211055278364e+00,6.016348270249232399e+01
7.788944723618090649e+00,6.893321613887212607e+01
7.889447236180906486e+00,6.191946468774020929e+01
7.989949748743718771e+00,7.843091338839570881e+01
8.090452261306534609e+00,6.955592539585259715e+01
8.190954773869346894e+00,6.374971208955314239e+01
8.291457286432162732e+00,6.429962544105649158e+01
8.391959798994975017e+00,7.369609776987412886e+01
8.492462311557790855e+00,7.180760435080175341e+01
8.592964824120603140e+00,7.814820073848670745e+01
8.693467336683418978e+00,7.861040816234054773e+01
8.793969849246231263e+00,7.755955868801031272e+01
8.894472361809047101e+00,7.538346699518137939e+01
8.994974874371859386e+00,7.375202867377973348e+01
9.095477386934675224e+00,8.081851539832476305e+01
9.195979899497487509e+00,8.907484735537313725e+01
9.296482412060303346e+00,8.762299784458227236e+01
9.396984924623115631e+00,8.210242123818359516e+01
9.497487437185931469e+00,9.099552682055475827e+01
9.597989949748743754e+00,9.387565081580454773e+01
9.698492462311559592e+00,8.937115934368540593e+01
9.798994974874371877e+00,9.642338420479826766e+01
9.899497487437187715e+00,9.783400508970423459e+01
1.000000000000000000e+01,9.374112739995750587e+01
